w_text,w_cat,w_spec,Precision@5,Diversity@5,Composite
0.3,0.65,0.05,0.69,0.19999999999999998,0.5429999999999999
0.55,0.35,0.1,0.6893333333333332,0.19999999999999998,0.5425333333333333
0.6,0.35,0.05,0.6893333333333334,0.19999999999999998,0.5425333333333333
0.35,0.6,0.05,0.6886666666666668,0.19999999999999998,0.5420666666666667
0.65,0.1,0.25,0.6866666666666665,0.20399999999999996,0.5418666666666665
0.4,0.55,0.05,0.6880000000000001,0.19999999999999998,0.5416000000000001
0.65,0.2,0.15,0.6873333333333332,0.2013333333333333,0.5415333333333332
0.45,0.45,0.1,0.6873333333333332,0.19999999999999998,0.5411333333333332
0.5,0.45,0.05,0.6873333333333332,0.19999999999999998,0.5411333333333332
0.7,0.05,0.25,0.6853333333333333,0.20399999999999996,0.5409333333333333
0.65,0.3,0.05,0.6853333333333333,0.2013333333333333,0.5401333333333332
0.45,0.5,0.05,0.6853333333333333,0.19999999999999998,0.5397333333333333
0.65,0.15,0.2,0.6826666666666668,0.2013333333333333,0.5382666666666667
0.65,0.25,0.1,0.6819999999999999,0.2013333333333333,0.5378
0.7,0.25,0.05,0.6793333333333333,0.2013333333333333,0.5359333333333333
0.7,0.2,0.1,0.6793333333333333,0.2013333333333333,0.5359333333333333
0.7,0.1,0.2,0.6779999999999999,0.20399999999999996,0.5357999999999999
0.75,0.05,0.2,0.6766666666666666,0.20399999999999996,0.5348666666666666
0.75,0.1,0.15,0.6746666666666666,0.20399999999999996,0.5334666666666666
0.75,0.2,0.05,0.6733333333333333,0.2013333333333333,0.5317333333333333
0.8,0.05,0.15,0.672,0.20399999999999996,0.5316
0.8,0.1,0.1,0.6706666666666666,0.2033333333333333,0.5304666666666666
0.7,0.15,0.15,0.6713333333333333,0.2013333333333333,0.5303333333333333
0.75,0.15,0.1,0.6706666666666666,0.2013333333333333,0.5298666666666666
0.85,0.1,0.05,0.6679999999999999,0.2033333333333333,0.5286
0.8,0.15,0.05,0.6679999999999999,0.20199999999999999,0.5281999999999999
0.85,0.05,0.1,0.6666666666666666,0.20466666666666664,0.5280666666666666
0.9,0.05,0.05,0.6639999999999999,0.20466666666666664,0.5261999999999999
